clients,update_bytes,runs,artifacts_bytes,hash_ms_median,replay_ms_median,verification_ms_median,verification_ms_p95,challenge_rate,eager_verification_cpu_ms_per_round,optimistic_verification_cpu_ms_per_round,cpu_saving_percent
10,4096,5,40960,0.10016,0.018128,0.118226,0.19589659999999998,0.0,0.118226,0.0,100.0
10,4096,5,40960,0.10016,0.018128,0.118226,0.19589659999999998,0.01,0.118226,0.00118226,99.0
10,4096,5,40960,0.10016,0.018128,0.118226,0.19589659999999998,0.1,0.118226,0.0118226,90.0
10,4096,5,40960,0.10016,0.018128,0.118226,0.19589659999999998,0.5,0.118226,0.059113,50.0
10,4096,5,40960,0.10016,0.018128,0.118226,0.19589659999999998,1.0,0.118226,0.118226,0.0
10,1048576,2,10485760,14.404543499999999,4.759771499999999,19.164315,20.458610399999998,0.0,19.164315,0.0,100.0
10,1048576,2,10485760,14.404543499999999,4.759771499999999,19.164315,20.458610399999998,0.01,19.164315,0.19164314999999998,99.0
10,1048576,2,10485760,14.404543499999999,4.759771499999999,19.164315,20.458610399999998,0.1,19.164315,1.9164314999999998,90.0
10,1048576,2,10485760,14.404543499999999,4.759771499999999,19.164315,20.458610399999998,0.5,19.164315,9.5821575,50.0
10,1048576,2,10485760,14.404543499999999,4.759771499999999,19.164315,20.458610399999998,1.0,19.164315,19.164315,0.0
10,10485760,2,104857600,141.5332815,55.939612,197.4728935,200.41106095,0.0,197.4728935,0.0,100.0
10,10485760,2,104857600,141.5332815,55.939612,197.4728935,200.41106095,0.01,197.4728935,1.9747289350000001,99.0
10,10485760,2,104857600,141.5332815,55.939612,197.4728935,200.41106095,0.1,197.4728935,19.747289350000003,90.0
10,10485760,2,104857600,141.5332815,55.939612,197.4728935,200.41106095,0.5,197.4728935,98.73644675,50.0
10,10485760,2,104857600,141.5332815,55.939612,197.4728935,200.41106095,1.0,197.4728935,197.4728935,0.0
50,4096,5,204800,0.483957,0.061917,0.5461210000000001,0.6015778,0.0,0.5461210000000001,0.0,100.0
50,4096,5,204800,0.483957,0.061917,0.5461210000000001,0.6015778,0.01,0.5461210000000001,0.005461210000000001,99.0
50,4096,5,204800,0.483957,0.061917,0.5461210000000001,0.6015778,0.1,0.5461210000000001,0.05461210000000001,90.0
50,4096,5,204800,0.483957,0.061917,0.5461210000000001,0.6015778,0.5,0.5461210000000001,0.27306050000000004,50.0
50,4096,5,204800,0.483957,0.061917,0.5461210000000001,0.6015778,1.0,0.5461210000000001,0.5461210000000001,0.0
50,1048576,2,52428800,70.9189055,11.6152795,82.53418500000001,84.02299470000001,0.0,82.53418500000001,0.0,100.0
50,1048576,2,52428800,70.9189055,11.6152795,82.53418500000001,84.02299470000001,0.01,82.53418500000001,0.82534185,99.0
50,1048576,2,52428800,70.9189055,11.6152795,82.53418500000001,84.02299470000001,0.1,82.53418500000001,8.2534185,90.0
50,1048576,2,52428800,70.9189055,11.6152795,82.53418500000001,84.02299470000001,0.5,82.53418500000001,41.267092500000004,50.0
50,1048576,2,52428800,70.9189055,11.6152795,82.53418500000001,84.02299470000001,1.0,82.53418500000001,82.53418500000001,0.0
50,10485760,2,524288000,703.9352255,173.1686915,877.1039169999999,883.6324162,0.0,877.1039169999999,0.0,100.0
50,10485760,2,524288000,703.9352255,173.1686915,877.1039169999999,883.6324162,0.01,877.1039169999999,8.77103917,99.0
50,10485760,2,524288000,703.9352255,173.1686915,877.1039169999999,883.6324162,0.1,877.1039169999999,87.7103917,90.0
50,10485760,2,524288000,703.9352255,173.1686915,877.1039169999999,883.6324162,0.5,877.1039169999999,438.55195849999996,50.0
50,10485760,2,524288000,703.9352255,173.1686915,877.1039169999999,883.6324162,1.0,877.1039169999999,877.1039169999999,0.0
