campaign_tag,validators,clients,scenario,batch_size,challenge_blocks,flood_count,flood_parallelism,network_rtt_ms,update_dim,runs,success_rate,total_ms_median,total_ms_p95,gas_median,gas_p95,tx_median,blocks_median,retries_median,challenges_median,calldata_median
window_c1,4,100,nominal,50,1,20,20,0,1024,3,1.0,8979.295997,9002.5123331,10771646.0,10771667.6,105.0,9.0,0.0,0.0,17092.0
window_c10,4,100,nominal,50,10,20,20,0,1024,3,1.0,18020.609239,18050.6706637,10771682.0,10771746.8,105.0,18.0,0.0,0.0,17092.0
window_c5,4,100,nominal,50,5,20,20,0,1024,3,1.0,12966.726544,13041.356722,10771670.0,10771680.8,105.0,13.0,0.0,0.0,17092.0
