clients,depth,repetition,operation,wall_ms,cpu_ms,proof_bytes,verified
10,32,25,proof_generation,0.307967,0.272857,1057,True
10,32,25,proof_verification,0.023364,0.022875,1057,True
10,32,26,build_and_root,0.28978,0.289273,0,True
10,32,26,single_update_and_root,0.256352,0.255835,0,True
10,32,26,proof_generation,0.255599,0.255061,1057,True
10,32,26,proof_verification,0.021609,0.021142,1057,True
10,32,27,build_and_root,0.271198,0.270743,0,True
10,32,27,single_update_and_root,0.252396,0.251904,0,True
10,32,27,proof_generation,0.256583,0.256089,1057,True
10,32,27,proof_verification,0.022421,0.02196,1057,True
10,32,28,build_and_root,0.610514,0.610018,0,True
10,32,28,single_update_and_root,0.300638,0.300034,0,True
10,32,28,proof_generation,0.276233,0.275672,1057,True
10,32,28,proof_verification,0.023874,0.023399,1057,True
10,32,29,build_and_root,0.299591,0.299078,0,True
10,32,29,single_update_and_root,0.275903,0.275374,0,True
10,32,29,proof_generation,0.277224,0.276669,1057,True
10,32,29,proof_verification,0.023901,0.023407,1057,True
100,32,0,build_and_root,2.799296,2.798746,0,True
100,32,0,single_update_and_root,2.926412,2.925864,0,True
100,32,0,proof_generation,2.252249,2.251699,1057,True
100,32,0,proof_verification,0.021423,0.020978,1057,True
100,32,1,build_and_root,2.785601,2.708259,0,True
100,32,1,single_update_and_root,2.549877,2.549229,0,True
100,32,1,proof_generation,2.9265,2.925572,1057,True
100,32,1,proof_verification,0.025895,0.025365,1057,True
100,32,2,build_and_root,2.546076,2.545559,0,True
100,32,2,single_update_and_root,3.240133,3.239585,0,True
100,32,2,proof_generation,2.447965,2.447236,1057,True
100,32,2,proof_verification,0.024086,0.023589,1057,True
100,32,3,build_and_root,2.661239,2.660676,0,True
100,32,3,single_update_and_root,2.52316,2.520816,0,True
100,32,3,proof_generation,2.878513,2.876813,1057,True
100,32,3,proof_verification,0.02397,0.023471,1057,True
100,32,4,build_and_root,2.442433,2.374887,0,True
100,32,4,single_update_and_root,2.269538,2.268991,0,True
100,32,4,proof_generation,2.973087,2.972387,1057,True
100,32,4,proof_verification,0.030871,0.030259,1057,True
100,32,5,build_and_root,2.668829,2.668339,0,True
100,32,5,single_update_and_root,2.470194,2.469601,0,True
100,32,5,proof_generation,2.285307,2.284737,1057,True
100,32,5,proof_verification,0.021871,0.021411,1057,True
100,32,6,build_and_root,2.920217,2.919676,0,True
100,32,6,single_update_and_root,2.480898,2.480067,0,True
100,32,6,proof_generation,2.651584,2.650995,1057,True
100,32,6,proof_verification,0.024066,0.023583,1057,True
100,32,7,build_and_root,2.331514,2.331019,0,True
100,32,7,single_update_and_root,2.784137,2.783324,0,True
100,32,7,proof_generation,2.258698,2.258141,1057,True
100,32,7,proof_verification,0.022684,0.022211,1057,True
100,32,8,build_and_root,2.721623,2.721128,0,True
100,32,8,single_update_and_root,2.23626,2.235689,0,True
100,32,8,proof_generation,3.211593,3.21099,1057,True
100,32,8,proof_verification,0.025155,0.024598,1057,True
100,32,9,build_and_root,2.552407,2.551894,0,True
100,32,9,single_update_and_root,2.981327,2.978796,0,True
100,32,9,proof_generation,3.083533,3.082958,1057,True
100,32,9,proof_verification,0.025639,0.025096,1057,True
100,32,10,build_and_root,3.153011,3.152513,0,True
100,32,10,single_update_and_root,2.33938,2.274323,0,True
100,32,10,proof_generation,2.284646,2.283793,1057,True
100,32,10,proof_verification,0.027592,0.027054,1057,True
100,32,11,build_and_root,3.050263,3.049731,0,True
100,32,11,single_update_and_root,2.466822,2.466206,0,True
100,32,11,proof_generation,3.205734,3.205085,1057,True
100,32,11,proof_verification,0.021421,0.020969,1057,True
100,32,12,build_and_root,2.197661,2.197218,0,True
100,32,12,single_update_and_root,2.585416,2.584839,0,True
100,32,12,proof_generation,2.523628,2.523105,1057,True
100,32,12,proof_verification,0.021975,0.021531,1057,True
100,32,13,build_and_root,2.452645,2.452141,0,True
100,32,13,single_update_and_root,2.90654,2.905946,0,True
100,32,13,proof_generation,2.310341,2.309531,1057,True
100,32,13,proof_verification,0.023491,0.022979,1057,True
100,32,14,build_and_root,2.805209,2.804733,0,True
100,32,14,single_update_and_root,2.14872,2.148179,0,True
100,32,14,proof_generation,3.300257,3.299642,1057,True
100,32,14,proof_verification,0.023516,0.022991,1057,True
100,32,15,build_and_root,2.376323,2.375821,0,True
100,32,15,single_update_and_root,2.844496,2.843884,0,True
100,32,15,proof_generation,2.566896,2.566253,1057,True
100,32,15,proof_verification,0.026232,0.025665,1057,True
100,32,16,build_and_root,2.608326,2.607792,0,True
100,32,16,single_update_and_root,2.411883,2.411193,0,True
100,32,16,proof_generation,2.591002,2.554815,1057,True
100,32,16,proof_verification,0.021988,0.021542,1057,True
100,32,17,build_and_root,2.297404,2.296935,0,True
100,32,17,single_update_and_root,2.912958,2.912209,0,True
100,32,17,proof_generation,2.905976,2.905302,1057,True
100,32,17,proof_verification,0.025326,0.024858,1057,True
100,32,18,build_and_root,2.375805,2.375306,0,True
100,32,18,single_update_and_root,2.92869,2.928104,0,True
100,32,18,proof_generation,2.285591,2.284948,1057,True
100,32,18,proof_verification,0.022252,0.021782,1057,True
100,32,19,build_and_root,2.416295,2.414219,0,True
100,32,19,single_update_and_root,2.267535,2.267038,0,True
100,32,19,proof_generation,2.586783,2.586188,1057,True
100,32,19,proof_verification,0.024519,0.024017,1057,True
100,32,20,build_and_root,2.617046,2.554215,0,True
100,32,20,single_update_and_root,2.523279,2.52251,0,True
100,32,20,proof_generation,2.222873,2.222364,1057,True
100,32,20,proof_verification,0.021617,0.021164,1057,True
100,32,21,build_and_root,3.099678,3.09913,0,True
100,32,21,single_update_and_root,2.580021,2.579423,0,True
100,32,21,proof_generation,2.582163,2.580514,1057,True
100,32,21,proof_verification,0.021934,0.021363,1057,True
100,32,22,build_and_root,2.433068,2.432594,0,True
100,32,22,single_update_and_root,2.657914,2.65726,0,True
100,32,22,proof_generation,2.742786,2.74212,1057,True
100,32,22,proof_verification,0.021903,0.021444,1057,True
100,32,23,build_and_root,2.774073,2.773652,0,True
100,32,23,single_update_and_root,2.331688,2.268283,0,True
100,32,23,proof_generation,2.850422,2.849701,1057,True
100,32,23,proof_verification,0.023079,0.022609,1057,True
100,32,24,build_and_root,2.300958,2.3005,0,True
100,32,24,single_update_and_root,2.378697,2.378175,0,True
100,32,24,proof_generation,3.0064,3.005732,1057,True
100,32,24,proof_verification,0.024432,0.023921,1057,True
100,32,25,build_and_root,2.831616,2.831064,0,True
100,32,25,single_update_and_root,2.3239,2.323356,0,True
100,32,25,proof_generation,2.239076,2.238567,1057,True
100,32,25,proof_verification,0.021426,0.020968,1057,True
100,32,26,build_and_root,2.790379,2.789868,0,True
100,32,26,single_update_and_root,2.388049,2.387439,0,True
100,32,26,proof_generation,2.933308,2.932616,1057,True
100,32,26,proof_verification,0.024066,0.023537,1057,True
100,32,27,build_and_root,2.350601,2.350129,0,True
100,32,27,single_update_and_root,2.969998,2.969481,0,True
100,32,27,proof_generation,2.308337,2.307621,1057,True
100,32,27,proof_verification,0.022469,0.022004,1057,True
100,32,28,build_and_root,3.176356,3.175862,0,True
100,32,28,single_update_and_root,2.177188,2.176629,0,True
100,32,28,proof_generation,2.694767,2.694133,1057,True
100,32,28,proof_verification,0.025267,0.024754,1057,True
100,32,29,build_and_root,2.41407,2.413596,0,True
100,32,29,single_update_and_root,2.598044,2.597317,0,True
100,32,29,proof_generation,2.837385,2.76842,1057,True
100,32,29,proof_verification,0.028793,0.02816,1057,True
500,32,0,build_and_root,12.780826,12.778942,0,True
500,32,0,single_update_and_root,12.122426,12.040827,0,True
500,32,0,proof_generation,11.352134,11.349267,1057,True
500,32,0,proof_verification,0.03019,0.029571,1057,True
500,32,1,build_and_root,11.259201,11.257463,0,True
500,32,1,single_update_and_root,11.850291,11.84756,0,True
500,32,1,proof_generation,10.957675,10.864036,1057,True
500,32,1,proof_verification,0.024147,0.023626,1057,True
500,32,2,build_and_root,11.389336,11.387766,0,True
500,32,2,single_update_and_root,10.814382,10.812039,0,True
500,32,2,proof_generation,11.697434,11.694736,1057,True
500,32,2,proof_verification,0.024893,0.024342,1057,True
500,32,3,build_and_root,11.821188,11.819796,0,True
500,32,3,single_update_and_root,11.800338,11.775891,0,True
500,32,3,proof_generation,10.915359,10.912801,1057,True
500,32,3,proof_verification,0.023564,0.023046,1057,True
500,32,4,build_and_root,12.23883,12.161531,0,True
500,32,4,single_update_and_root,10.766481,10.764108,0,True
500,32,4,proof_generation,11.549697,11.452724,1057,True
500,32,4,proof_verification,0.024905,0.024323,1057,True
500,32,5,build_and_root,11.547083,11.545796,0,True
500,32,5,single_update_and_root,13.196969,13.067047,0,True
500,32,5,proof_generation,11.190625,11.187478,1057,True
500,32,5,proof_verification,0.031049,0.030351,1057,True
500,32,6,build_and_root,11.960146,11.958412,0,True
500,32,6,single_update_and_root,11.769064,11.766339,0,True
500,32,6,proof_generation,11.668952,11.592846,1057,True
500,32,6,proof_verification,0.140104,0.137075,1057,True
500,32,7,build_and_root,12.590016,12.586963,0,True
500,32,7,single_update_and_root,11.994572,11.991867,0,True
500,32,7,proof_generation,12.894843,12.89124,1057,True
500,32,7,proof_verification,0.030581,0.029878,1057,True
500,32,8,build_and_root,12.406304,12.404639,0,True
500,32,8,single_update_and_root,12.584877,12.57954,0,True
500,32,8,proof_generation,11.497029,11.487489,1057,True
500,32,8,proof_verification,0.02827,0.027677,1057,True
500,32,9,build_and_root,12.096815,12.014641,0,True
500,32,9,single_update_and_root,11.653778,11.651682,0,True
500,32,9,proof_generation,12.580569,12.578907,1057,True
500,32,9,proof_verification,0.024474,0.023978,1057,True
500,32,10,build_and_root,12.18569,12.184484,0,True
500,32,10,single_update_and_root,11.787233,11.7056,0,True
500,32,10,proof_generation,11.681551,11.679449,1057,True
500,32,10,proof_verification,0.027064,0.02652,1057,True
500,32,11,build_and_root,12.345743,12.252966,0,True
500,32,11,single_update_and_root,11.484618,11.483246,0,True
500,32,11,proof_generation,11.336483,11.238069,1057,True
500,32,11,proof_verification,0.024668,0.024129,1057,True
500,32,12,build_and_root,12.805827,12.804654,0,True
500,32,12,single_update_and_root,10.322058,10.318902,0,True
500,32,12,proof_generation,11.987749,11.984372,1057,True
500,32,12,proof_verification,0.026368,0.025805,1057,True
500,32,13,build_and_root,12.063481,12.062219,0,True
500,32,13,single_update_and_root,12.651004,12.648307,0,True
500,32,13,proof_generation,11.606696,11.599367,1057,True
500,32,13,proof_verification,0.032106,0.031408,1057,True
500,32,14,build_and_root,12.511923,12.393401,0,True
500,32,14,single_update_and_root,12.223487,12.219928,0,True
500,32,14,proof_generation,11.949425,11.946863,1057,True
500,32,14,proof_verification,0.027654,0.027055,1057,True
500,32,15,build_and_root,11.833047,11.831357,0,True
500,32,15,single_update_and_root,12.093579,12.090216,0,True
500,32,15,proof_generation,11.993362,11.990295,1057,True
500,32,15,proof_verification,0.026438,0.025831,1057,True
500,32,16,build_and_root,13.330336,13.250683,0,True
500,32,16,single_update_and_root,12.94261,12.939565,0,True
500,32,16,proof_generation,25.909644,25.902018,1057,True
500,32,16,proof_verification,0.058051,0.056773,1057,True
500,32,17,build_and_root,24.417309,24.310595,0,True
500,32,17,single_update_and_root,13.236811,13.230785,0,True
500,32,17,proof_generation,14.563726,14.553417,1057,True
500,32,17,proof_verification,0.030868,0.030243,1057,True
500,32,18,build_and_root,14.267053,14.24811,0,True
500,32,18,single_update_and_root,10.892836,10.891256,0,True
500,32,18,proof_generation,11.708924,11.630181,1057,True
500,32,18,proof_verification,0.026154,0.025654,1057,True
500,32,19,build_and_root,11.644156,11.643014,0,True
500,32,19,single_update_and_root,12.453317,12.284395,0,True
500,32,19,proof_generation,12.296086,12.293251,1057,True
500,32,19,proof_verification,0.0325,0.031805,1057,True
500,32,20,build_and_root,11.767914,11.683489,0,True
500,32,20,single_update_and_root,11.59957,11.597055,0,True
500,32,20,proof_generation,13.351093,13.257955,1057,True
500,32,20,proof_verification,0.028313,0.027711,1057,True
500,32,21,build_and_root,12.321529,12.319718,0,True
500,32,21,single_update_and_root,10.95001,10.862459,0,True
500,32,21,proof_generation,12.213939,12.212301,1057,True
500,32,21,proof_verification,0.03022,0.029656,1057,True
500,32,22,build_and_root,12.951362,12.950477,0,True
500,32,22,single_update_and_root,12.739319,12.737297,0,True
500,32,22,proof_generation,12.753626,12.543544,1057,True
500,32,22,proof_verification,0.029871,0.029249,1057,True
500,32,23,build_and_root,12.126939,12.125974,0,True
500,32,23,single_update_and_root,12.901754,12.899053,0,True
500,32,23,proof_generation,11.741521,11.739011,1057,True
500,32,23,proof_verification,0.036653,0.036067,1057,True
500,32,24,build_and_root,13.113336,13.112263,0,True
500,32,24,single_update_and_root,12.325692,12.322811,0,True
500,32,24,proof_generation,12.380522,12.343897,1057,True
500,32,24,proof_verification,0.028761,0.028186,1057,True
500,32,25,build_and_root,12.685092,12.636924,0,True
500,32,25,single_update_and_root,11.248519,11.246959,0,True
500,32,25,proof_generation,12.040958,12.038862,1057,True
500,32,25,proof_verification,0.027237,0.026611,1057,True
500,32,26,build_and_root,12.234475,12.233565,0,True
500,32,26,single_update_and_root,12.088705,12.08699,0,True
500,32,26,proof_generation,10.739103,10.737644,1057,True
500,32,26,proof_verification,0.023562,0.023076,1057,True
500,32,27,build_and_root,13.276928,13.198415,0,True
500,32,27,single_update_and_root,11.583439,11.581662,0,True
500,32,27,proof_generation,12.387258,12.294797,1057,True
500,32,27,proof_verification,0.025249,0.024677,1057,True
500,32,28,build_and_root,13.707034,13.704037,0,True
500,32,28,single_update_and_root,11.21794,11.118002,0,True
500,32,28,proof_generation,11.697984,11.69623,1057,True
500,32,28,proof_verification,0.023985,0.023433,1057,True
500,32,29,build_and_root,12.716023,12.657381,0,True
500,32,29,single_update_and_root,11.555978,11.553751,0,True
500,32,29,proof_generation,11.417436,11.320104,1057,True
500,32,29,proof_verification,0.033169,0.032614,1057,True
