clients,cache_mode,update_body_bytes,artifact_bytes,manifest_ms,read_ms,hash_ms,parse_ms,aggregate_ms,checkpoint_ms,detection_ms,challenge_package_ms,verification_ms,total_ms,cpu_ms,local_throughput_mib_s,verdict,challenge_hash,repetition
100,warm,1048576,104879600,0.151786,16.239975,71.555773,15.206857,16.991632,1.707453,0.000354,0.017702,121.85383,123.065213,123.067953,812.7477976652991,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,25
100,warm,1048576,104879600,0.134988,13.879324,73.082568,13.484609,13.857647,1.644245,0.000309,0.0,116.08369,116.984138,116.982381,854.9960921621779,UPHELD,,26
100,warm,1048576,104879600,0.129865,13.77897,72.644866,14.624542,14.18436,1.487705,0.000276,0.0162,116.850584,117.848592,117.852284,848.7244449637628,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,27
100,warm,1048576,104879600,0.115917,13.447415,63.770518,11.470918,13.112887,1.829672,0.000554,0.0,103.74788099999999,104.65583,104.652864,955.7134163950631,UPHELD,,28
100,warm,1048576,104879600,0.103382,12.926682,67.576987,12.944276,11.688016,2.083042,0.000657,0.019427,107.323042,108.166799,108.169438,924.6920659541838,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,29
100,fadvise,1048576,104879600,0.133314,77.983654,72.569927,13.680867,13.409221,1.649178,0.000353,0.0,179.426514,180.507896,146.741533,554.1086182454918,UPHELD,,0
100,fadvise,1048576,104879600,0.124366,80.925052,79.266828,16.541571,18.2299,1.472874,0.000279,0.017057,196.56087,198.211676,164.828118,504.61699761300105,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,1
100,fadvise,1048576,104879600,0.112809,71.153767,62.388599,11.536714,11.56452,1.433911,0.000293,0.0,158.19061299999998,159.0844,123.769736,628.7290321047252,UPHELD,,2
100,fadvise,1048576,104879600,0.131269,70.426945,57.566535,10.596687,10.747364,1.362932,0.000276,0.014344,150.83200800000003,151.759416,115.237274,659.0759471225227,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,3
100,fadvise,1048576,104879600,0.117402,70.006867,60.534411,11.436411,11.177432,1.487886,0.000294,0.0,154.760703,155.679164,119.602582,642.4814873425254,UPHELD,,4
100,fadvise,1048576,104879600,0.123005,75.982162,66.294854,12.340658,12.266863,1.432477,0.000302,0.016609,168.440321,169.529059,132.619245,589.9931340677172,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,5
100,fadvise,1048576,104879600,0.140951,71.129397,60.695227,11.323329,11.35869,1.43606,0.000286,0.0,156.08393999999998,157.018753,121.586779,637.0002240112105,UPHELD,,6
100,fadvise,1048576,104879600,0.112014,76.856172,69.096244,12.690197,12.279243,1.483103,0.000309,0.019623,172.51728199999997,173.530552,138.724127,576.3883055876001,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,7
100,fadvise,1048576,104879600,0.12878,73.232231,66.725296,13.301312,12.606337,1.63701,0.000335,0.0,167.631301,168.606506,134.160785,593.2213602419407,UPHELD,,8
100,fadvise,1048576,104879600,0.182367,79.198344,69.483361,13.986534,13.390621,1.577949,0.000321,0.016631,177.819497,178.986917,142.816547,558.8172728566577,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,9
100,fadvise,1048576,104879600,0.133458,76.997225,75.092789,12.745331,12.753498,1.397335,0.000277,0.0,179.119913,180.184532,146.080429,555.1030364524349,UPHELD,,10
100,fadvise,1048576,104879600,0.111689,75.354314,65.610911,11.9619,12.314079,1.399248,0.000311,0.029456,166.75245200000003,167.807104,132.259104,596.0473570592156,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,11
100,fadvise,1048576,104879600,0.116469,74.674494,66.292551,12.035856,12.643063,1.456238,0.000198,0.0,167.218869,168.200752,132.644269,594.6523998594307,UPHELD,,12
100,fadvise,1048576,104879600,0.105329,73.461722,63.342395,11.917031,11.750278,1.478504,0.000321,0.015597,162.05558000000002,163.022782,128.315043,613.5398967425359,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,13
100,fadvise,1048576,104879600,0.126957,77.59296,66.209039,12.704793,11.893286,1.626304,0.000326,0.0,170.15366500000002,171.231112,132.580918,584.1285480582579,UPHELD,,14
100,fadvise,1048576,104879600,0.146634,73.52123,69.477419,13.474127,12.809986,2.456346,0.000411,0.018686,171.886153,172.904253,138.215908,578.4761166919412,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,15
100,fadvise,1048576,104879600,0.1424,75.856425,66.313377,12.318073,12.754586,1.650144,0.000327,0.0,169.035332,170.078308,134.179642,588.087816789434,UPHELD,,16
100,fadvise,1048576,104879600,0.125286,72.023725,60.172296,11.116815,11.064399,1.518748,0.000388,0.019414,156.02165699999998,156.990525,121.205721,637.1147611294437,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,17
100,fadvise,1048576,104879600,0.134927,71.234663,59.479892,10.845397,10.711133,1.538623,0.000374,0.0,153.945009,154.830033,119.233361,646.0050346624995,UPHELD,,18
100,fadvise,1048576,104879600,0.129023,76.106201,67.832922,13.709151,13.716871,1.597076,0.000316,0.01571,173.09156,174.253892,139.363309,573.9956777261591,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,19
100,fadvise,1048576,104879600,0.429154,75.168216,64.5768,13.271072,13.416583,1.488527,0.000324,0.0,168.35067600000002,169.468455,134.21474,590.2041228555541,UPHELD,,20
100,fadvise,1048576,104879600,0.132362,71.453469,61.085922,11.440181,11.207771,1.669398,0.000322,0.033106,156.989425,157.921197,122.466257,633.3600728403859,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,21
100,fadvise,1048576,104879600,0.13977,79.088866,71.682079,12.902118,13.334603,1.479069,0.000303,0.0,178.626808,179.697083,143.759607,556.6088172670055,UPHELD,,22
100,fadvise,1048576,104879600,0.134973,72.014265,60.506457,11.482722,11.439632,1.423017,0.000373,0.017606,157.00143899999998,157.950529,122.60189,633.2424555220131,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,23
100,fadvise,1048576,104879600,0.113485,71.359092,59.702907,11.190697,11.205082,1.510967,0.000274,0.0,155.08250399999997,155.971504,120.373926,641.2772735394084,UPHELD,,24
100,fadvise,1048576,104879600,0.114408,73.151614,61.686984,11.465945,11.92651,1.440261,0.000286,0.016374,159.78600799999998,160.772297,125.048875,622.128206795235,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,25
100,fadvise,1048576,104879600,0.119361,76.071142,67.871749,12.783793,13.254905,1.633603,0.000288,0.0,171.73484100000002,172.808244,138.151755,578.797507108289,UPHELD,,26
100,fadvise,1048576,104879600,0.137805,71.472079,59.396541,11.03882,11.241026,1.398236,0.000276,0.015121,154.684783,155.606753,120.236188,642.7804636149752,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,27
100,fadvise,1048576,104879600,0.108786,72.274293,61.753573,11.174817,11.084963,1.416625,0.000312,0.0,157.81336900000002,158.714134,123.224648,630.1958011815188,UPHELD,,28
100,fadvise,1048576,104879600,0.138162,72.372556,61.391655,11.288328,11.723619,1.439226,0.000293,0.015296,158.353839,159.340291,123.993746,627.7193307934962,REVISED,6f0f5c79af6cefc718ec06f4fe5bc9296fdc0440cae115f041e93e3a26876de5,29
