clients,cache_mode,update_body_bytes,artifact_bytes,artifact_mib,bandwidth_mbps,watchers,dispute_rate,local_monitor_ms,local_monitor_p95_ms,projected_transfer_ms,overlap_projection_ms,serial_projection_ms,overlap_p95_projection_ms,serial_p95_projection_ms,overlap_window_blocks,serial_window_blocks,overlap_p95_window_blocks,serial_p95_window_blocks,challenge_package_ms_per_fault,independent_resolver_replay_ms_per_fault,one_watcher_expected_work_ms_per_round,resolver_expected_work_ms_per_round,federation_expected_local_work_ms_per_round,federation_serial_acquisition_plus_local_ms_per_round
100,fadvise,1048576,104879600,100.02098083496094,100.0,1,0.0,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98566050000002,0.0,166.98566050000002,8557.3536605
100,fadvise,1048576,104879600,100.02098083496094,100.0,1,0.01,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98582681000002,0.7506893800000001,167.73651619000003,8558.10451619
100,fadvise,1048576,104879600,100.02098083496094,100.0,1,0.05,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98649205,3.7534469,170.73993895,8561.107938950001
100,fadvise,1048576,104879600,100.02098083496094,100.0,1,0.1,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98732360000002,7.5068938,174.49421740000003,8564.862217400001
100,fadvise,1048576,104879600,100.02098083496094,100.0,2,0.0,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98566050000002,0.0,333.97132100000005,17114.707321
100,fadvise,1048576,104879600,100.02098083496094,100.0,2,0.01,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98582681000002,0.7506893800000001,334.72217669,17115.45817669
100,fadvise,1048576,104879600,100.02098083496094,100.0,2,0.05,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98649205,3.7534469,337.72559945000006,17118.46159945
100,fadvise,1048576,104879600,100.02098083496094,100.0,2,0.1,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98732360000002,7.5068938,341.4798779,17122.215877900002
100,fadvise,1048576,104879600,100.02098083496094,100.0,3,0.0,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98566050000002,0.0,500.9569815000001,25672.060981500003
100,fadvise,1048576,104879600,100.02098083496094,100.0,3,0.01,166.98566050000002,179.28854354999999,8390.368,8390.368,8557.3536605,8390.368,8569.65654355,9,9,9,9,0.016631,75.068938,166.98582681000002,0.7506893800000001,501.7078371900001,25672.811837190002
