clients,cache_mode,update_body_bytes,artifact_bytes,watchers,dispute_rate,bandwidth_mbps,projected_transfer_ms_per_watcher,measured_local_verification_ms_per_watcher,challenge_package_ms_per_fault,system_watcher_work_ms_per_round
100,fadvise,10485760,1048598300,1,0.1,1000.0,8388.7864,1843.9146874999997,0.021809,10232.703268400002
100,fadvise,10485760,1048598300,2,0.0,1000.0,8388.7864,1843.9146874999997,0.021809,20465.402175000003
100,fadvise,10485760,1048598300,2,0.01,1000.0,8388.7864,1843.9146874999997,0.021809,20465.402393090004
100,fadvise,10485760,1048598300,2,0.05,1000.0,8388.7864,1843.9146874999997,0.021809,20465.403265450004
100,fadvise,10485760,1048598300,2,0.1,1000.0,8388.7864,1843.9146874999997,0.021809,20465.404355900002
100,fadvise,10485760,1048598300,3,0.0,1000.0,8388.7864,1843.9146874999997,0.021809,30698.103262500004
100,fadvise,10485760,1048598300,3,0.01,1000.0,8388.7864,1843.9146874999997,0.021809,30698.103480590005
100,fadvise,10485760,1048598300,3,0.05,1000.0,8388.7864,1843.9146874999997,0.021809,30698.104352950006
100,fadvise,10485760,1048598300,3,0.1,1000.0,8388.7864,1843.9146874999997,0.021809,30698.105443400003
100,fadvise,10485760,1048598300,1,0.0,10000.0,838.87864,1843.9146874999997,0.021809,2682.7933274999996
100,fadvise,10485760,1048598300,1,0.01,10000.0,838.87864,1843.9146874999997,0.021809,2682.7935455899997
100,fadvise,10485760,1048598300,1,0.05,10000.0,838.87864,1843.9146874999997,0.021809,2682.7944179499996
100,fadvise,10485760,1048598300,1,0.1,10000.0,838.87864,1843.9146874999997,0.021809,2682.7955083999996
100,fadvise,10485760,1048598300,2,0.0,10000.0,838.87864,1843.9146874999997,0.021809,5365.586654999999
100,fadvise,10485760,1048598300,2,0.01,10000.0,838.87864,1843.9146874999997,0.021809,5365.586873089999
100,fadvise,10485760,1048598300,2,0.05,10000.0,838.87864,1843.9146874999997,0.021809,5365.58774545
100,fadvise,10485760,1048598300,2,0.1,10000.0,838.87864,1843.9146874999997,0.021809,5365.588835899999
100,fadvise,10485760,1048598300,3,0.0,10000.0,838.87864,1843.9146874999997,0.021809,8048.379982499999
100,fadvise,10485760,1048598300,3,0.01,10000.0,838.87864,1843.9146874999997,0.021809,8048.380200589999
100,fadvise,10485760,1048598300,3,0.05,10000.0,838.87864,1843.9146874999997,0.021809,8048.381072949999
100,fadvise,10485760,1048598300,3,0.1,10000.0,838.87864,1843.9146874999997,0.021809,8048.382163399999
100,warm,1048576,104879600,1,0.0,100.0,8390.368,105.54913,0.018494,8495.91713
100,warm,1048576,104879600,1,0.01,100.0,8390.368,105.54913,0.018494,8495.91731494
100,warm,1048576,104879600,1,0.05,100.0,8390.368,105.54913,0.018494,8495.9180547
100,warm,1048576,104879600,1,0.1,100.0,8390.368,105.54913,0.018494,8495.9189794
100,warm,1048576,104879600,2,0.0,100.0,8390.368,105.54913,0.018494,16991.83426
100,warm,1048576,104879600,2,0.01,100.0,8390.368,105.54913,0.018494,16991.83444494
100,warm,1048576,104879600,2,0.05,100.0,8390.368,105.54913,0.018494,16991.8351847
